user_000007	2009-05-03T00:48:08Z	b539e453-c4fe-47e3-8a07-8517eac74429	宇多田ヒカル	1d519592-7875-4ba0-b81c-a8f01dfe77a1	Passion

user_000008	2009-04-29T10:10:00Z	b7ffd2af-418f-4be2-bdd1-22f8b48613da	Nine Inch Nails		Terminator Salvation Soundtrack
user_000008	2009-04-29T10:05:49Z	b7ffd2af-418f-4be2-bdd1-22f8b48613da	Nine Inch Nails		Terminator Salvation Soundtrack
user_000008	2009-04-29T10:01:37Z	b7ffd2af-418f-4be2-bdd1-22f8b48613da	Nine Inch Nails		Terminator Salvation Soundtrack
user_000008	2009-04-29T09:57:26Z	b7ffd2af-418f-4be2-bdd1-22f8b48613da	Nine Inch Nails		Terminator Salvation Soundtrack
user_000008	2009-04-29T09:53:15Z	b7ffd2af-418f-4be2-bdd1-22f8b48613da	Nine Inch Nails		Terminator Salvation Soundtrack
user_000008	2009-04-29T09:49:03Z	b7ffd2af-418f-4be2-bdd1-22f8b48613da	Nine Inch Nails		Terminator Salvation Soundtrack
user_000008	2009-04-29T09:44:52Z	b7ffd2af-418f-4be2-bdd1-22f8b48613da	Nine Inch Nails		Terminator Salvation Soundtrack
user_000008	2009-04-29T09:37:20Z	b7ffd2af-418f-4be2-bdd1-22f8b48613da	Nine Inch Nails		Terminator Salvation Soundtrack
user_000008	2009-04-29T09:33:07Z	b7ffd2af-418f-4be2-bdd1-22f8b48613da	Nine Inch Nails		Terminator Salvation Soundtrack
user_000008	2009-04-28T20:20:52Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	fa885100-f442-46e1-8ec1-5fcaf190c386	Diamonds
user_000008	2009-04-28T20:16:13Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Ego (Remix) (Feat. Beyonce)
user_000008	2009-04-28T20:12:53Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	9d66fc9b-dca4-4183-9a83-356cf7211646	Kinda Like A Big Deal (Feat. The Clipse)
user_000008	2009-04-28T20:10:16Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Oprah Story
user_000008	2009-04-28T20:06:35Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		I'M The Shit (Remix)
user_000008	2009-04-28T20:01:20Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Go Hard (Remix) (Feat. Lil Wayne, Jay-Z)
user_000008	2009-04-28T19:57:07Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e0fbe9c5-372e-4066-84ef-89de6a37bd0a	Walking On The Moon (Feat. The-Dream)
user_000008	2009-04-28T19:51:41Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T19:47:31Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Doing Girls Wrong
user_000008	2009-04-28T19:44:20Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Imma Be Iight (Feat. Lil Wayne, Joe Young)
user_000008	2009-04-28T19:39:16Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Amazing (Remix) (Feat. The Dream, Young Jeezy, Christina Milian)
user_000008	2009-04-28T19:34:39Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	af056ee1-a9ef-401b-b9f2-43d85b1bcfac	Flight School (Feat. Glc & T-Pain)
user_000008	2009-04-28T19:29:38Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Maybach Music 2 (Feat. Rick Ross, T-Pain, Lil Wayne)
user_000008	2009-04-28T19:25:51Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e9759864-510e-4f4b-b9b7-80148765f952	We Fight, We Love (Feat. Q-Tip & Consequence)
user_000008	2009-04-28T19:21:55Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	7a76c130-c747-42dd-8d2a-7b00ee28adb7	I Poke Her Face (Feat. Kid Cudi & Common)
user_000008	2009-04-28T19:21:09Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	fa885100-f442-46e1-8ec1-5fcaf190c386	Diamonds
